,0
EmpLastSalaryHikePercent,0.16178257863694823
EmpEnvironmentSatisfaction,0.15457564356123488
YearsSinceLastPromotion,0.09076554901431533
ExperienceYearsInCurrentRole,0.05562197073611386
EmpJobRole,0.04515032200096569
ExperienceYearsAtThisCompany,0.03745497153422184
EmpHourlyRate,0.03392216534438752
YearsWithCurrManager,0.030300660035128102
EmpDepartment,0.02441458875429059
MaritalStatus,0.020144665351672586
EmpJobSatisfaction,0.019102340924039618
Gender,0.015225701615959375
OverTime,0.011355970266441862
EmpEducationLevel,0.009183326213843213
EmpJobInvolvement,0.008164397749768293
